id,path,score,hits,misses
target_000000,mem_images/target_000000.jpg,0.5647058823529412,48,37
target_000001,mem_images/target_000001.jpg,0.4222222222222222,38,52
target_000002,mem_images/target_000002.jpg,0.7948717948717948,62,16
target_000003,mem_images/target_000003.jpg,0.3707865168539326,33,56
target_000004,mem_images/target_000004.jpg,0.5357142857142857,45,39
target_000005,mem_images/target_000005.jpg,0.8117647058823529,69,16
target_000006,mem_images/target_000006.jpg,0.6571428571428571,46,24
target_000007,mem_images/target_000007.jpg,0.46875,30,34
target_000008,mem_images/target_000008.jpg,0.3918918918918919,29,45
target_000009,mem_images/target_000009.jpg,0.6056338028169014,43,28
target_000010,mem_images/target_000010.jpg,0.7878787878787878,52,14
target_000011,mem_images/target_000011.jpg,0.5064935064935064,39,38
target_000012,mem_images/target_000012.jpg,0.5362318840579711,37,32
target_000013,mem_images/target_000013.jpg,0.5671641791044776,38,29
target_000014,mem_images/target_000014.jpg,0.6818181818181818,60,28
target_000015,mem_images/target_000015.jpg,0.7976190476190477,67,17
target_000016,mem_images/target_000016.jpg,0.6538461538461539,51,27
target_000017,mem_images/target_000017.jpg,0.8,68,17
target_000018,mem_images/target_000018.jpg,0.684931506849315,50,23
target_000019,mem_images/target_000019.jpg,0.6219512195121951,51,31
target_000020,mem_images/target_000020.jpg,0.5416666666666666,39,33
target_000021,mem_images/target_000021.jpg,0.7123287671232876,52,21
target_000022,mem_images/target_000022.jpg,0.8604651162790697,74,12
target_000023,mem_images/target_000023.jpg,0.5925925925925926,48,33
target_000024,mem_images/target_000024.jpg,0.5606060606060606,37,29
target_000025,mem_images/target_000025.jpg,0.6804123711340206,66,31
target_000026,mem_images/target_000026.jpg,0.76,57,18
target_000027,mem_images/target_000027.jpg,0.5492957746478874,39,32
target_000028,mem_images/target_000028.jpg,0.75,57,19
target_000029,mem_images/target_000029.jpg,0.6764705882352942,46,22
target_000030,mem_images/target_000030.jpg,0.6883116883116883,53,24
target_000031,mem_images/target_000031.jpg,0.5555555555555556,45,36
target_000032,mem_images/target_000032.jpg,0.6883116883116883,53,24
target_000033,mem_images/target_000033.jpg,0.8089887640449438,72,17
target_000034,mem_images/target_000034.jpg,0.686046511627907,59,27
target_000035,mem_images/target_000035.jpg,0.29411764705882354,20,48
target_000036,mem_images/target_000036.jpg,0.6129032258064516,38,24
target_000037,mem_images/target_000037.jpg,0.5783132530120482,48,35
target_000038,mem_images/target_000038.jpg,0.6956521739130435,64,28
target_000039,mem_images/target_000039.jpg,0.43661971830985913,31,40
target_000040,mem_images/target_000040.jpg,0.7125,57,23
target_000041,mem_images/target_000041.jpg,0.7849462365591398,73,20
target_000042,mem_images/target_000042.jpg,0.4642857142857143,39,45
target_000043,mem_images/target_000043.jpg,0.6547619047619048,55,29
