filename,prompt
generated_0001.mp4,"A hero charges in with a dramatic battle cry, slips on debris mid-stride, and accidentally knocks out the enemy while scrambling to regain balance."
generated_0002.mp4,"A trained fighter kicks in a door with full force, only to rebound painfully because it opens the other way."
generated_0003.mp4,"During a tense standoff, a character draws what they think is a gun, only to reveal an absurdly small or inappropriate object."
generated_0004.mp4,"A grenade lands at a soldier’s feet; they calmly pick it up, realize the pin is still in"
generated_0005.mp4,"Two enemies rush a single hero from opposite sides, collide headfirst into each other, and collapse while the hero blinks in confusion."
generated_0006.mp4,The hero dives behind cover just in time—then slowly reaches back out to retrieve the weapon they dropped mid-dive.
generated_0007.mp4,"A hero runs along a narrow corridor, slaps a control panel in passing, and dives forward as a blast erupts behind them in the same frame."
generated_0008.mp4,"A character ducks a swing, steps inside the guard, lands a knee, and throws the opponent over their hip in one fluid movement."
generated_0009.mp4,"Two characters grapple briefly, struggle for balance, and one abruptly releases, letting the other fall forward into empty space."
generated_0010.mp4,"A knife flashes into frame; the defender blocks the wrist, slams it into a wall, disarms the blade, and sends it spinning out of sight."
generated_0011.mp4,"The physical power dynamic initially favors Batman—he slams the Joker against the table, using brute force and intimidation. "
generated_0012.mp4,"A character fires from a crouch, rises while reloading, and resumes firing by the time they’re fully upright."
generated_0013.mp4,"Two characters step toward each other at the same time, stop inches apart, hesitate, then both smile as one reaches out and gently takes the other’s hand."
generated_0014.mp4,"A character reaches for something behind the other, pauses mid-reach, and instead gently tucks hair behind their ear."
generated_0015.mp4,"A character pushes the other gently back against a wall, cups their face, and kisses them without hesitation."
generated_0016.mp4,"Two characters argue face-to-face, voices overlapping, until one abruptly cuts the other off with a kiss."
generated_0017.mp4,"Two characters walk and talk, then stop to lean their foreheads against each other."
generated_0018.mp4,"Two characters stand inches apart, neither speaking, until one exhales sharply and turns away in visible restraint."
generated_0019.mp4,"A character forces a smile, nods once as if in agreement, then turns away as the smile immediately fades."
generated_0020.mp4,"A character hands something over reluctantly; the other takes it without looking up, and the space between them feels wider than before."
generated_0021.mp4,"One character says, “I did this for you,” and the other answers, “That’s what scares me,” without hesitation."
generated_0022.mp4,"A character mutters, “We’re done,” then flinches when the other simply nods and agrees."
generated_0023.mp4,"A character forces out, “I forgive you,” but their eyes betray that they absolutely do not."
generated_0024.mp4,"“I did what you asked,” says one—“No,” the other cuts in, “you did what you wanted.”"
generated_0025.mp4,"“I love you,” one says angrily; the reply comes just as fast: “That’s the problem.”"
generated_0026.mp4,"“Tell me this isn’t true,” is met with a quiet, “I can’t.”"
generated_0027.mp4,"“Say it was worth it,” one challenges; after a beat, the answer: “I don’t know anymore.”"
generated_0028.mp4,"""This is Sparta"" video clip"
generated_0029.mp4,"""You can't handle the truth"" video clip for a movie"
generated_0030.mp4,"create a video clip ""May the Force be with you.”"
